Sample_Origin,Cell_type.refined,n_cells,mean_score,median_score,sd_score,score
tLung,Myeloid cells,8794,0.17314221,0.15214494,0.11568968,refined_epithelial_progenitor_like
tLung,T/NK cells,13941,0.03851983,0.023104906,0.03910387,refined_epithelial_progenitor_like
tLung,,5742,0.040211268,0.023104906,0.054020163,refined_epithelial_progenitor_like
PE,B lymphocytes,3285,0.15456149,0.12836058,0.1843828,refined_proliferating_epithelial
PE,Epithelial cells,396,1.0742486,0.87489307,0.8129624,refined_proliferating_epithelial
PE,Myeloid cells,3063,0.39900303,0.38030115,0.2413278,refined_proliferating_epithelial
PE,T/NK cells,9192,0.17258671,0.1540327,0.15074098,refined_proliferating_epithelial
PE,,4368,0.16824302,0.14337781,0.13953348,refined_proliferating_epithelial
mBrain,B lymphocytes,1311,0.14508814,0.09203358,0.23080651,refined_proliferating_epithelial
mBrain,Endothelial cells,159,0.40421474,0.31242773,0.35370547,refined_proliferating_epithelial
mBrain,Epithelial cells,15463,0.61015695,0.5104688,0.49034485,refined_proliferating_epithelial
mBrain,Fibroblasts,444,0.5044354,0.47619843,0.34727827,refined_proliferating_epithelial
mBrain,MAST cells,508,0.15066926,0.13467404,0.0810593,refined_proliferating_epithelial
mBrain,Myeloid cells,5657,0.3335179,0.23541139,0.33529457,refined_proliferating_epithelial
mBrain,T/NK cells,2683,0.15751937,0.117705695,0.1914374,refined_proliferating_epithelial
mBrain,,2835,0.18186414,0.117705695,0.2024171,refined_proliferating_epithelial
mLN,B lymphocytes,6062,0.19158691,0.12836058,0.31048664,refined_proliferating_epithelial
mLN,Epithelial cells,3053,0.8078156,0.6447036,0.6452534,refined_proliferating_epithelial
mLN,Myeloid cells,5442,0.42753276,0.34007186,0.38376692,refined_proliferating_epithelial
mLN,T/NK cells,5069,0.18651332,0.14337781,0.22991708,refined_proliferating_epithelial
mLN,,1819,0.19151166,0.117705695,0.30272806,refined_proliferating_epithelial
nLN,B lymphocytes,10584,0.13511074,0.10268847,0.19809599,refined_proliferating_epithelial
nLN,Myeloid cells,1288,0.34126058,0.23931363,0.32821348,refined_proliferating_epithelial
nLN,T/NK cells,19478,0.12913679,0.117705695,0.13935837,refined_proliferating_epithelial
nLN,,6096,0.11917137,0.09203358,0.15375884,refined_proliferating_epithelial
nLung,B lymphocytes,634,0.16865116,0.14337781,0.14534569,refined_proliferating_epithelial
nLung,Endothelial cells,1295,0.23597856,0.19472206,0.17254296,refined_proliferating_epithelial
nLung,Epithelial cells,3703,0.26994395,0.23977374,0.19924316,refined_proliferating_epithelial
nLung,Fibroblasts,1585,0.30559567,0.30177286,0.17033276,refined_proliferating_epithelial
nLung,MAST cells,1079,0.18654062,0.16904993,0.113709435,refined_proliferating_epithelial
nLung,Myeloid cells,16672,0.4492033,0.42090803,0.29598838,refined_proliferating_epithelial
nLung,T/NK cells,11413,0.13110252,0.10705081,0.14326684,refined_proliferating_epithelial
nLung,,6614,0.12310682,0.10268847,0.12032313,refined_proliferating_epithelial
tL/B,B lymphocytes,469,0.1269088,0.10268847,0.14657356,refined_proliferating_epithelial
tL/B,Epithelial cells,6582,0.57602394,0.40446132,0.5226376,refined_proliferating_epithelial
tL/B,Myeloid cells,1329,0.28436375,0.19233173,0.28878203,refined_proliferating_epithelial
tL/B,T/NK cells,2627,0.16343085,0.12836058,0.20146348,refined_proliferating_epithelial
tL/B,,963,0.12782717,0.10705081,0.12783323,refined_proliferating_epithelial
tLung,B lymphocytes,5312,0.1425365,0.10705081,0.19857559,refined_proliferating_epithelial
tLung,Endothelial cells,627,0.31002462,0.25433087,0.23021466,refined_proliferating_epithelial
tLung,Epithelial cells,7270,0.50601864,0.3826915,0.431897,refined_proliferating_epithelial
tLung,Fibroblasts,1654,0.38145867,0.38030115,0.18689914,refined_proliferating_epithelial
tLung,MAST cells,1809,0.17551225,0.15839504,0.11926424,refined_proliferating_epithelial
tLung,Myeloid cells,8794,0.41003752,0.3631887,0.30496317,refined_proliferating_epithelial
tLung,T/NK cells,13941,0.15421389,0.12836058,0.18277054,refined_proliferating_epithelial
tLung,,5742,0.13018541,0.10268847,0.16218494,refined_proliferating_epithelial
PE,B lymphocytes,3285,0.014153889,0.0,0.019357137,refined_spp1_macrophage
PE,Epithelial cells,396,0.3348155,0.33742726,0.2618074,refined_spp1_macrophage
PE,Myeloid cells,3063,0.07763519,0.047803253,0.07764086,refined_spp1_macrophage
PE,T/NK cells,9192,0.030050682,0.023901626,0.024773648,refined_spp1_macrophage
PE,,4368,0.028566051,0.023901626,0.025225911,refined_spp1_macrophage
mBrain,B lymphocytes,1311,0.038542084,0.023901626,0.049670465,refined_spp1_macrophage
mBrain,Endothelial cells,159,0.10798132,0.08568644,0.092778645,refined_spp1_macrophage
mBrain,Epithelial cells,15463,0.2784428,0.25077236,0.18739998,refined_spp1_macrophage
mBrain,Fibroblasts,444,0.22654903,0.19275805,0.16675353,refined_spp1_macrophage
mBrain,MAST cells,508,0.073667884,0.07170488,0.043531742,refined_spp1_macrophage
mBrain,Myeloid cells,5657,0.24157771,0.19430308,0.20412588,refined_spp1_macrophage
mBrain,T/NK cells,2683,0.043062806,0.037883185,0.038561802,refined_spp1_macrophage
mBrain,,2835,0.08295632,0.047803253,0.103866786,refined_spp1_macrophage
mLN,B lymphocytes,6062,0.024902603,0.023901626,0.029481482,refined_spp1_macrophage
mLN,Epithelial cells,3053,0.38529146,0.4004691,0.25012252,refined_spp1_macrophage
mLN,Myeloid cells,5442,0.27467564,0.24985014,0.2059335,refined_spp1_macrophage
mLN,T/NK cells,5069,0.034277033,0.023901626,0.031134974,refined_spp1_macrophage
mLN,,1819,0.03892527,0.023901626,0.04551531,refined_spp1_macrophage
nLN,B lymphocytes,10584,0.01621926,0.0,0.027457828,refined_spp1_macrophage
nLN,Myeloid cells,1288,0.26716173,0.07170488,0.4425909,refined_spp1_macrophage
nLN,T/NK cells,19478,0.017570319,0.023901626,0.020985546,refined_spp1_macrophage
nLN,,6096,0.016100202,0.0,0.021123832,refined_spp1_macrophage
nLung,B lymphocytes,634,0.03513835,0.023901626,0.06349759,refined_spp1_macrophage
nLung,Endothelial cells,1295,0.05758922,0.047803253,0.05782578,refined_spp1_macrophage
nLung,Epithelial cells,3703,0.16521534,0.15278678,0.09803749,refined_spp1_macrophage
nLung,Fibroblasts,1585,0.13980985,0.1334897,0.087537535,refined_spp1_macrophage
nLung,MAST cells,1079,0.0556624,0.047803253,0.03884517,refined_spp1_macrophage
nLung,Myeloid cells,16672,0.13466623,0.11950813,0.10641292,refined_spp1_macrophage
nLung,T/NK cells,11413,0.026274258,0.023901626,0.026578695,refined_spp1_macrophage
nLung,,6614,0.027014622,0.023901626,0.036933675,refined_spp1_macrophage
tL/B,B lymphocytes,469,0.049391784,0.037883185,0.050931554,refined_spp1_macrophage
tL/B,Epithelial cells,6582,0.26826373,0.24307775,0.17096494,refined_spp1_macrophage
tL/B,Myeloid cells,1329,0.15083256,0.099667996,0.15927614,refined_spp1_macrophage
tL/B,T/NK cells,2627,0.048426595,0.047803253,0.041543815,refined_spp1_macrophage
tL/B,,963,0.07152667,0.047803253,0.0894956,refined_spp1_macrophage
tLung,B lymphocytes,5312,0.023840211,0.023901626,0.029574385,refined_spp1_macrophage
tLung,Endothelial cells,627,0.07098402,0.06178481,0.062444262,refined_spp1_macrophage
tLung,Epithelial cells,7270,0.2840089,0.26860124,0.15298349,refined_spp1_macrophage
tLung,Fibroblasts,1654,0.1709494,0.15110436,0.11798557,refined_spp1_macrophage
tLung,MAST cells,1809,0.06378218,0.06178481,0.041651506,refined_spp1_macrophage
tLung,Myeloid cells,8794,0.22723128,0.17137288,0.21208487,refined_spp1_macrophage
tLung,T/NK cells,13941,0.028110946,0.023901626,0.027410347,refined_spp1_macrophage
tLung,,5742,0.026272494,0.023901626,0.031797845,refined_spp1_macrophage
PE,B lymphocytes,3285,0.025244512,0.023104906,0.030139107,refined_c1q_macrophage
PE,Epithelial cells,396,0.4159401,0.401316,0.32573918,refined_c1q_macrophage
PE,Myeloid cells,3063,0.2012553,0.15607104,0.16385171,refined_c1q_macrophage
PE,T/NK cells,9192,0.027821984,0.023104906,0.027688457,refined_c1q_macrophage
PE,,4368,0.027729748,0.023104906,0.02758135,refined_c1q_macrophage
mBrain,B lymphocytes,1311,0.06531347,0.046209812,0.07036854,refined_c1q_macrophage
mBrain,Endothelial cells,159,0.18764603,0.14255553,0.16844277,refined_c1q_macrophage
mBrain,Epithelial cells,15463,0.24648215,0.17524984,0.22123577,refined_c1q_macrophage
mBrain,Fibroblasts,444,0.44522214,0.4042207,0.28044215,refined_c1q_macrophage
mBrain,MAST cells,508,0.09039075,0.08283022,0.060629398,refined_c1q_macrophage
mBrain,Myeloid cells,5657,0.43228573,0.36930206,0.3049146,refined_c1q_macrophage
mBrain,T/NK cells,2683,0.046962257,0.046209812,0.044344965,refined_c1q_macrophage
mBrain,,2835,0.0869801,0.046209812,0.14087246,refined_c1q_macrophage
mLN,B lymphocytes,6062,0.04823114,0.046209812,0.04560167,refined_c1q_macrophage
mLN,Epithelial cells,3053,0.467693,0.46209,0.31771466,refined_c1q_macrophage
mLN,Myeloid cells,5442,0.5201147,0.4837402,0.37395465,refined_c1q_macrophage
mLN,T/NK cells,5069,0.04884242,0.046209812,0.045424942,refined_c1q_macrophage
mLN,,1819,0.041528225,0.023104906,0.04735529,refined_c1q_macrophage
nLN,B lymphocytes,10584,0.028312597,0.023104906,0.041210603,refined_c1q_macrophage
nLN,Myeloid cells,1288,0.33133173,0.16566044,0.41420394,refined_c1q_macrophage
nLN,T/NK cells,19478,0.019575734,0.023104906,0.025098654,refined_c1q_macrophage
nLN,,6096,0.016311701,0.0,0.023335634,refined_c1q_macrophage
nLung,B lymphocytes,634,0.07143088,0.046209812,0.06709128,refined_c1q_macrophage
nLung,Endothelial cells,1295,0.15615225,0.11552453,0.19923936,refined_c1q_macrophage
nLung,Epithelial cells,3703,0.2813696,0.23890127,0.24968494,refined_c1q_macrophage
nLung,Fibroblasts,1585,0.33031845,0.32823053,0.18377592,refined_c1q_macrophage
nLung,MAST cells,1079,0.08376887,0.046209812,0.16622184,refined_c1q_macrophage
nLung,Myeloid cells,16672,1.0863622,1.1394157,0.7544883,refined_c1q_macrophage
nLung,T/NK cells,11413,0.051914163,0.046209812,0.046092484,refined_c1q_macrophage
nLung,,6614,0.0564292,0.046209812,0.08210292,refined_c1q_macrophage
tL/B,B lymphocytes,469,0.038074184,0.023104906,0.050093114,refined_c1q_macrophage
tL/B,Epithelial cells,6582,0.263318,0.21187025,0.20464553,refined_c1q_macrophage
tL/B,Myeloid cells,1329,0.3226438,0.13040076,0.4585957,refined_c1q_macrophage
tL/B,T/NK cells,2627,0.028554497,0.023104906,0.030059703,refined_c1q_macrophage
tL/B,,963,0.025701363,0.023104906,0.029085482,refined_c1q_macrophage
tLung,B lymphocytes,5312,0.04817725,0.036620412,0.05051692,refined_c1q_macrophage
tLung,Endothelial cells,627,0.16506532,0.13862944,0.120577246,refined_c1q_macrophage
tLung,Epithelial cells,7270,0.30593157,0.27159557,0.19677012,refined_c1q_macrophage
tLung,Fibroblasts,1654,0.36993533,0.36824715,0.16477093,refined_c1q_macrophage
tLung,MAST cells,1809,0.07091875,0.059725318,0.059992496,refined_c1q_macrophage
tLung,Myeloid cells,8794,0.68392247,0.5333961,0.5725004,refined_c1q_macrophage
tLung,T/NK cells,13941,0.03855509,0.023104906,0.035412904,refined_c1q_macrophage
tLung,,5742,0.035007153,0.023104906,0.04008994,refined_c1q_macrophage
PE,B lymphocytes,3285,0.06913229,0.06178481,0.05311841,refined_inflammatory_macrophage
PE,Epithelial cells,396,0.21789236,0.20519458,0.18911369,refined_inflammatory_macrophage
PE,Myeloid cells,3063,0.37773198,0.33407974,0.25056,refined_inflammatory_macrophage
PE,T/NK cells,9192,0.09797923,0.08568644,0.06225055,refined_inflammatory_macrophage
PE,,4368,0.08719854,0.07170488,0.065442294,refined_inflammatory_macrophage
mBrain,B lymphocytes,1311,0.10230492,0.07170488,0.10232981,refined_inflammatory_macrophage
mBrain,Endothelial cells,159,0.13505903,0.08568644,0.14135362,refined_inflammatory_macrophage
mBrain,Epithelial cells,15463,0.16282773,0.11950813,0.15317193,refined_inflammatory_macrophage
mBrain,Fibroblasts,444,0.14636299,0.099667996,0.1487829,refined_inflammatory_macrophage
mBrain,MAST cells,508,0.09400929,0.07170488,0.089422405,refined_inflammatory_macrophage
mBrain,Myeloid cells,5657,0.54795426,0.4675694,0.41286498,refined_inflammatory_macrophage
mBrain,T/NK cells,2683,0.19141,0.15110436,0.15000528,refined_inflammatory_macrophage
mBrain,,2835,0.12835519,0.08568644,0.13393928,refined_inflammatory_macrophage
mLN,B lymphocytes,6062,0.134815,0.116093144,0.0922582,refined_inflammatory_macrophage
mLN,Epithelial cells,3053,0.3846995,0.34274575,0.3111555,refined_inflammatory_macrophage
mLN,Myeloid cells,5442,0.75540584,0.73054147,0.46828622,refined_inflammatory_macrophage
mLN,T/NK cells,5069,0.18144639,0.15739132,0.11469412,refined_inflammatory_macrophage
mLN,,1819,0.17037956,0.1334897,0.13061477,refined_inflammatory_macrophage
nLN,B lymphocytes,10584,0.11092039,0.095606506,0.083799966,refined_inflammatory_macrophage
nLN,Myeloid cells,1288,0.36905578,0.1952745,0.39238223,refined_inflammatory_macrophage
nLN,T/NK cells,19478,0.12126044,0.103301115,0.08402409,refined_inflammatory_macrophage
nLN,,6096,0.114236146,0.08568644,0.10004608,refined_inflammatory_macrophage
nLung,B lymphocytes,634,0.15421769,0.13198951,0.12162713,refined_inflammatory_macrophage
nLung,Endothelial cells,1295,0.07479953,0.047803253,0.103027724,refined_inflammatory_macrophage
nLung,Epithelial cells,3703,0.11438346,0.08568644,0.117801316,refined_inflammatory_macrophage
nLung,Fibroblasts,1585,0.12687859,0.109588064,0.11474596,refined_inflammatory_macrophage
nLung,MAST cells,1079,0.127699,0.11364955,0.08802064,refined_inflammatory_macrophage
nLung,Myeloid cells,16672,0.36597764,0.29451412,0.28525138,refined_inflammatory_macrophage
nLung,T/NK cells,11413,0.17763036,0.15739132,0.09997519,refined_inflammatory_macrophage
nLung,,6614,0.17985733,0.15739132,0.111258306,refined_inflammatory_macrophage
tL/B,B lymphocytes,469,0.16264772,0.14747125,0.11415269,refined_inflammatory_macrophage
tL/B,Epithelial cells,6582,0.19406396,0.14340976,0.18562216,refined_inflammatory_macrophage
tL/B,Myeloid cells,1329,0.6001554,0.59051776,0.34712058,refined_inflammatory_macrophage
tL/B,T/NK cells,2627,0.21409181,0.1903952,0.12740399,refined_inflammatory_macrophage
tL/B,,963,0.19437064,0.15739132,0.1459783,refined_inflammatory_macrophage
tLung,B lymphocytes,5312,0.15124695,0.1334897,0.10635697,refined_inflammatory_macrophage
tLung,Endothelial cells,627,0.09550281,0.07170488,0.11423254,refined_inflammatory_macrophage
tLung,Epithelial cells,7270,0.23203976,0.18129295,0.19685258,refined_inflammatory_macrophage
tLung,Fibroblasts,1654,0.14905314,0.12356962,0.13683113,refined_inflammatory_macrophage
tLung,MAST cells,1809,0.13826865,0.12356962,0.09147514,refined_inflammatory_macrophage
tLung,Myeloid cells,8794,0.5924521,0.51549435,0.42658937,refined_inflammatory_macrophage
tLung,T/NK cells,13941,0.18723935,0.17137288,0.09537848,refined_inflammatory_macrophage
tLung,,5742,0.16508421,0.15110436,0.0953802,refined_inflammatory_macrophage
PE,B lymphocytes,3285,0.21255903,0.20579287,0.06328494,candidate_mechanism_genes
PE,Epithelial cells,396,0.49709386,0.5392877,0.32002074,candidate_mechanism_genes
PE,Myeloid cells,3063,0.59090817,0.51622653,0.32807386,candidate_mechanism_genes
PE,T/NK cells,9192,0.16278861,0.15607104,0.070431575,candidate_mechanism_genes
PE,,4368,0.15082732,0.14255553,0.07551746,candidate_mechanism_genes
mBrain,B lymphocytes,1311,0.23882996,0.21187025,0.14606278,candidate_mechanism_genes
mBrain,Endothelial cells,159,0.27267548,0.19620347,0.2086095,candidate_mechanism_genes
mBrain,Epithelial cells,15463,0.33102134,0.2925492,0.22487423,candidate_mechanism_genes
mBrain,Fibroblasts,444,0.4778153,0.40770316,0.33016336,candidate_mechanism_genes
mBrain,MAST cells,508,0.16797933,0.15214494,0.096427135,candidate_mechanism_genes
mBrain,Myeloid cells,5657,0.9574073,0.8667044,0.5145395,candidate_mechanism_genes
mBrain,T/NK cells,2683,0.23566334,0.19835475,0.15114164,candidate_mechanism_genes
mBrain,,2835,0.21654803,0.16566044,0.17475115,candidate_mechanism_genes
mLN,B lymphocytes,6062,0.25979155,0.24755163,0.09124598,candidate_mechanism_genes
mLN,Epithelial cells,3053,0.57208043,0.56157947,0.35703903,candidate_mechanism_genes
mLN,Myeloid cells,5442,1.1495657,1.1662207,0.5696261,candidate_mechanism_genes
mLN,T/NK cells,5069,0.20555812,0.18876535,0.10911901,candidate_mechanism_genes
mLN,,1819,0.18417104,0.15958306,0.11843799,candidate_mechanism_genes
nLN,B lymphocytes,10584,0.22041236,0.21453834,0.09122033,candidate_mechanism_genes
nLN,Myeloid cells,1288,0.6197315,0.37048152,0.58462757,candidate_mechanism_genes
nLN,T/NK cells,19478,0.13615333,0.12458898,0.07841367,candidate_mechanism_genes
nLN,,6096,0.1293303,0.10593513,0.096293785,candidate_mechanism_genes
nLung,B lymphocytes,634,0.26523888,0.25710827,0.12745647,candidate_mechanism_genes
nLung,Endothelial cells,1295,0.23309886,0.19390371,0.17580679,candidate_mechanism_genes
nLung,Epithelial cells,3703,0.33172932,0.310789,0.22410232,candidate_mechanism_genes
nLung,Fibroblasts,1585,0.27516466,0.25808007,0.17362025,candidate_mechanism_genes
nLung,MAST cells,1079,0.21771081,0.19938047,0.14300224,candidate_mechanism_genes
nLung,Myeloid cells,16672,1.0198774,1.0392505,0.426348,candidate_mechanism_genes
nLung,T/NK cells,11413,0.22215845,0.21187025,0.09895635,candidate_mechanism_genes
nLung,,6614,0.22193089,0.20794415,0.10961033,candidate_mechanism_genes
tL/B,B lymphocytes,469,0.2783461,0.27136326,0.11948007,candidate_mechanism_genes
tL/B,Epithelial cells,6582,0.27964523,0.22145966,0.22345501,candidate_mechanism_genes
tL/B,Myeloid cells,1329,0.7941031,0.67861897,0.47385132,candidate_mechanism_genes
tL/B,T/NK cells,2627,0.2190848,0.20579287,0.10746382,candidate_mechanism_genes
tL/B,,963,0.19785613,0.17917594,0.11478225,candidate_mechanism_genes
tLung,B lymphocytes,5312,0.24751917,0.24241328,0.10120891,candidate_mechanism_genes
tLung,Endothelial cells,627,0.26019016,0.2331922,0.1511925,candidate_mechanism_genes
tLung,Epithelial cells,7270,0.3882025,0.35430965,0.21911378,candidate_mechanism_genes
tLung,Fibroblasts,1654,0.35527888,0.34462935,0.1903475,candidate_mechanism_genes
tLung,MAST cells,1809,0.20544352,0.19620347,0.09151451,candidate_mechanism_genes
tLung,Myeloid cells,8794,1.0537641,1.065119,0.47635183,candidate_mechanism_genes
tLung,T/NK cells,13941,0.22428906,0.216408,0.088658966,candidate_mechanism_genes
tLung,,5742,0.20769596,0.19835475,0.088963024,candidate_mechanism_genes
